year,global_avg,bangalore_city_avg,sanjose_city_avg
1880,8.12,24.58,13.22
1881,8.27,24.76,14.39
1882,8.13,24.33,13.58
1883,7.98,24.25,13.93
1884,7.77,24.35,14.05
1885,7.92,24.62,15.05
1886,7.95,24.53,14.58
1887,7.91,24.31,14.38
1888,8.09,24.63,14.70
1889,8.32,24.73,14.81
1890,7.97,24.46,14.05
1891,8.02,24.95,14.46
1892,8.07,24.59,14.05
1893,8.06,24.38,13.40
1894,8.16,24.75,13.80
1895,8.15,24.78,13.95
1896,8.21,25.12,14.22
1897,8.29,25.30,13.81
1898,8.18,24.87,13.77
1899,8.40,24.74,14.04
1900,8.50,25.44,14.64
1901,8.54,25.09,14.34
1902,8.30,25.06,14.07
1903,8.22,24.82,14.12
1904,8.09,24.53,14.50
1905,8.23,24.92,14.39
1906,8.38,25.09,14.81
1907,7.95,24.74,14.34
1908,8.19,24.66,14.01
1909,8.18,24.61,14.05
1910,8.22,24.42,14.17
1911,8.18,24.76,13.46
1912,8.17,25.00,13.95
1913,8.30,25.00,14.38
1914,8.59,25.02,14.33
1915,8.59,25.22,14.30
1916,8.23,24.75,13.61
1917,8.02,24.46,14.06
1918,8.13,24.74,14.14
1919,8.38,25.06,13.60
1920,8.36,24.99,13.72
1921,8.57,24.88,14.24
1922,8.41,24.74,13.61
1923,8.42,24.84,14.13
1924,8.51,24.89,14.10
1925,8.53,24.69,14.34
1926,8.73,25.14,15.14
1927,8.52,25.06,14.24
1928,8.63,25.06,14.32
1929,8.24,24.87,14.25
1930,8.63,24.86,14.25
1931,8.72,25.24,14.93
1932,8.71,24.68,14.24
1933,8.34,24.61,13.93
1934,8.63,24.81,15.31
1935,8.52,24.93,14.12
1936,8.55,24.99,15.13
1937,8.70,24.96,14.36
1938,8.86,24.91,14.35
1939,8.76,24.84,14.81
1940,8.76,24.92,15.12
1941,8.77,25.55,14.98
1942,8.73,25.23,14.20
1943,8.76,24.69,14.72
1944,8.85,24.92,14.17
1945,8.58,25.05,14.41
1946,8.68,24.97,13.83
1947,8.80,25.02,14.51
1948,8.75,25.21,13.65
1949,8.59,24.92,13.90
